,id,name,type,summary,difficulty,stars,starVotes,location,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate,popular_vote
20,7041523,Mount Diablo Four Peaks Loop,Hike,"This long, challenging hike visits Mount Diablo and three other summits.",Intermediate/Difficult,4.6,10,"Clayton, California",15.4,4406,-4404,3808,541,-121.927,37.9221,All Clear,,2020-02-08 12:08:02,46.0
21,7042934,Mount Diablo Falls Loop,Hike,This rugged and scenic hike explores the waterfalls around the headwaters of Donner Creek.,Intermediate/Difficult,4.7,15,"Clayton, California",5.4,1107,-1105,1648,542,-121.9271,37.9221,All Clear,Dry,2020-02-15 14:28:53,70.5
22,7040977,Mount Diablo Summit Loop - North,Hike,This strenuous loop hike tours Mount Diablo's ridges and canyons with a stop at the summit.,Intermediate/Difficult,4.1,10,"Clayton, California",13.7,3378,-3369,3774,573,-121.9415,37.9204,All Clear,Mostly Dry,2020-01-11 10:48:42,41.0
23,7040999,Eagle Peak Loop,Hike,A moderate loop hike to a surprisingly dramatic summit near Mount Diablo.,Intermediate/Difficult,4.1,7,"Clayton, California",6.5,1983,-1983,2352,631,-121.9415,37.9204,Unknown,,1970-01-01 00:00:00,28.699999999999996
24,7029945,Annadel Park Channel Drive Loop,Hike,"Beautiful scenery, challenging terrain, and a great hill workout all in about an hour. What more could you ask for?!",Easy/Intermediate,3.3,3,"Santa Rosa, California",5.0,671,-667,842,333,-122.6384,38.4566,Unknown,,1970-01-01 00:00:00,9.899999999999999
25,7023057,Ohlone-Crystyl Ranch Loop,Hike,Enjoy sweeping views of the Walnut Creek and Concord areas on this hike located just off Ygnacio Rd.,Easy/Intermediate,2.8,5,"Clayton, California",5.5,734,-747,861,372,-121.9925,37.9467,Unknown,,1970-01-01 00:00:00,14.0
26,7004382,Sonoma Overlook Trail,Hike,Quick and easy trip just above Sonoma with great views.,Easy/Intermediate,4.3,3,"Sonoma, California",2.4,372,-372,509,137,-122.4571,38.2997,Minor Issues,"Mostly Dry, Some Mud",2019-12-28 20:45:52,12.899999999999999
27,7012637,Juniper to Summit Loop,Hike,A combination of steep climbs and descents with stunning views of the San Francisco Bay Area.,Intermediate,3.8,13,"Diablo, California",6.6,1737,-1727,3586,2040,-121.9312,37.8765,All Clear,"Mostly Dry - A $10 day use fee, plus a $96 parking ticket if you don't get back to your car by sunset. Have a nice day!",2019-12-29 05:32:21,49.4
28,7017781,North Sonoma Mtn Trailhead to Sonoma Mtn Peak,Hike,A gorgeous route including views of Bennett Valley on the way up to the peak of Sonoma Mountain.,Easy/Intermediate,3.8,6,"Eldridge, California",9.7,1747,-1748,2363,1066,-122.6044,38.3635,Unknown,,1970-01-01 00:00:00,22.799999999999997
29,7033788,Tour de Table Mountain - Phantom Falls Loop,Hike,Enjoy a tour of the best places in North Table Mountain Ecological Reserve.,Easy/Intermediate,4.6,9,"Oroville, California",6.9,783,-783,1332,920,-121.5418,39.596,Unknown,,1970-01-01 00:00:00,41.4
30,7030209,Mt. Diablo Summit Loop - South,Hike,A long loop hike through Mt. Diablo Foothills and to the summit of Mt. Diablo.,Intermediate/Difficult,4.8,8,"Diablo, California",16.0,3679,-3678,3725,616,-121.9788,37.8627,Minor Issues,Muddy - Muddy and slippery for first 4 miles but improves after that,2020-01-30 14:05:48,38.4
31,7054001,Stage Road Loop,Hike,"Pretty, moderate loop combining views of Wall Point, Mt. Diablo, and valley creek bed.",Easy/Intermediate,3.0,1,"Diablo, California",4.1,590,-585,878,483,-121.9789,37.8626,Minor Issues,Some Mud,2020-01-19 23:55:57,3.0
32,7011686,Taylor Mountain,Hike,A lovely short hike with great views and oak forest trails.,Intermediate,3.9,8,"Roseland, California",5.1,1155,-1154,1360,206,-122.6973,38.4046,Unknown,,1970-01-01 00:00:00,31.2
33,7041656,Craig Canyon-Thompson Canyon Loop,Hike,"This is an easy-to-follow loop around Cache Creek Wilderness, with a chance to see tule elk.",Intermediate,4.0,1,"Arbuckle, California",9.8,1309,-1309,1674,1012,-122.3544,38.9985,Unknown,,1970-01-01 00:00:00,4.0
34,7022229,Briones Regional Park Loop,Hike,A lovely hike in Briones Regional Park that is outstanding when the wildflowers are in bloom.,Intermediate,3.8,4,"Pleasant Hill, California",9.6,1503,-1502,1352,679,-122.1353,37.9541,Unknown,,1970-01-01 00:00:00,15.2
35,7042274,Ridgeline Loop,Hike,A loop hike along the lake and on top of the ridge.,Easy/Intermediate,4.0,3,"Livermore, California",4.8,565,-545,1138,713,-121.7035,37.5866,Unknown,,1970-01-01 00:00:00,12.0
36,7056138,Eagle Peak Out and Back,Hike,Excellent workout with great views of Mt. Diablo.,Difficult,5.0,2,"Alamo, California",4.2,1435,-1434,1791,356,-122.0259,37.834,All Clear,Mostly Dry,2020-01-20 16:02:23,10.0
37,7020222,Thunder Mountain,Hike,A remarkably beautiful summit with surprisingly low relative effort - a true standout in the area.,Intermediate,5.0,6,"South Lake Tahoe, California",7.9,1858,-1858,9388,7929,-120.1075,38.7056,Unknown,,1970-01-01 00:00:00,30.0
38,7084341,10k Loop at Briones,Hike,"Great loop with moderate elevation, spectacular views, and beautiful nature.",Intermediate/Difficult,4.0,3,"Orinda, California",6.9,773,-773,1431,718,-122.1565,37.9268,Minor Issues,Muddy,2019-12-21 14:11:33,12.0
39,7090570,Cache Creek Ford,Hike,"A long trek along ridgelines, and rolling hills within the Cache Creek Natural Area, with two creek crossings.",Difficult,5.0,1,"Clearlake, California",13.1,1543,-2288,2208,903,-122.4158,39.0086,Unknown,,1970-01-01 00:00:00,5.0
40,7033835,Feather Falls Loop,Hike,Enjoy the beautiful Plumas National Forest on your way to a phenomenal waterfall.,Intermediate,4.1,8,"Berry Creek, California",8.0,1870,-1868,2483,1518,-121.2666,39.6144,Unknown,,1970-01-01 00:00:00,32.8
41,7019355,Dangberg Loop,Hike,A mostly gradual route that traverse up the roads and trails at Kirkwood before descending back to the base.,Intermediate,5.0,1,"South Lake Tahoe, California",4.4,650,-646,8287,7784,-120.0666,38.684,Unknown,,1970-01-01 00:00:00,5.0
42,7084098,Osborne Ridge Loop,Hike,Panoramic ridge views and lush green forests.,Intermediate/Difficult,4.0,1,"South Lake Tahoe, California",3.9,688,-687,7783,7178,-120.0175,38.4817,Unknown,,1970-01-01 00:00:00,4.0
43,7015165,Las Trampas North Loop,Hike,Plenty of climbing means you get great views from the peak and all along the Ridge Trail.,Intermediate/Difficult,4.0,8,"Danville, California",9.6,2273,-2300,1796,646,-122.0498,37.8168,Unknown,,1970-01-01 00:00:00,32.0
44,7010463,Elderberry - Rocky View - Cuestas Loop,Hike,Great loop with views of the bay and Mt. Diablo,Intermediate/Difficult,4.4,7,"Danville, California",8.1,1397,-1396,1954,993,-122.0439,37.8121,Unknown,,1970-01-01 00:00:00,30.800000000000004
45,7088710,Rim Trail,Hike,A pleasant hike through the Lamorinda hills with great views.,Intermediate,4.0,1,"Lafayette, California",5.2,903,-901,1023,469,-122.1385,37.8843,All Clear,Dry: Footing on downhill sections can be a bit tricky at times.,2019-11-24 17:21:09,4.0
46,7085300,Rockbound Trail to Leland Lakes,Hike,Backpack through beautiful pine forests over rocky passes and camp by rushing rivers and quiet lakes.,Difficult,5.0,1,"South Lake Tahoe, California",10.4,2719,-1528,8540,6967,-120.2391,38.8482,Unknown,,1970-01-01 00:00:00,5.0
47,7091000,Briones Reservoir Loop Trail,Hike,A great long hike around Briones Reservoir.,Intermediate,5.0,1,"Orinda, California",13.4,1081,-1087,993,586,-122.2024,37.9132,Unknown,,1970-01-01 00:00:00,5.0
48,7037745,Wrights Lake to Grouse Lake,Hike,A nice climb through forests and granite slabs to the secluded Grouse Lake.,Intermediate/Difficult,3.8,4,"South Lake Tahoe, California",4.5,1212,-1212,8152,6956,-120.2256,38.8496,Unknown,,1970-01-01 00:00:00,15.2
49,7018678,Armstrong Redwoods Tour,Hike,"A beautiful, easy hike through a ""young"" old-growth redwood forest.",Easy,4.2,6,"Guerneville, California",2.1,200,-199,359,252,-123.003,38.5324,Unknown,,1970-01-01 00:00:00,25.200000000000003
50,7024572,Round Top Loop,Hike,A moderate scramble up a Sierra Nevada peak.,Difficult,4.9,7,"South Lake Tahoe, California",6.9,2162,-2162,10338,8201,-120.0094,38.6916,Unknown,,1970-01-01 00:00:00,34.300000000000004
51,7024997,Pyramid Peak - Rocky Canyon Trail,Hike,An epic trail leading to the summit of iconic Pyramid Peak.,Difficult,4.8,21,"South Lake Tahoe, California",6.5,3915,-3913,9879,5964,-120.1359,38.8086,Unknown,,1970-01-01 00:00:00,100.8
52,7049441,Winnemucca Lake and Elephant's Back,Hike,"In winter, bring snowshoes or cross country skis to climb to stunning views at the top of the Sierras.",Intermediate,3.7,3,"South Lake Tahoe, California",6.8,1112,-1111,9570,8554,-119.9911,38.6968,Unknown,,1970-01-01 00:00:00,11.100000000000001
53,7022302,Tilden Park Loop,Hike,A hike with steep climbs to ridgetop views through shaded canyons on narrow doubletrack.,Intermediate,4.1,12,"Kensington, California",4.4,864,-864,1614,979,-122.2449,37.9048,Unknown,,1970-01-01 00:00:00,49.199999999999996
54,7020215,Ralston Peak,Hike,It's hard to beat the ratio of distance to views on this trail even though the climb is quite tough.,Intermediate/Difficult,4.6,16,"South Lake Tahoe, California",5.8,2617,-2616,9149,6532,-120.1156,38.8047,Unknown,,1970-01-01 00:00:00,73.6
55,7020217,Horsetail Falls,Hike,A lovely but challenging route to a stunning waterfall that is most impressive in the spring.,Intermediate/Difficult,4.5,22,"South Lake Tahoe, California",3.3,682,-682,6785,6116,-120.1237,38.8115,Unknown,,1970-01-01 00:00:00,99.0
56,7052665,Wildcat Canyon Loop,Hike,Uses trails less traveled in Wildcat Canyon.,Intermediate,5.0,1,"East Richmond Heights, California",9.4,889,-892,1141,327,-122.3144,37.9525,Unknown,,1970-01-01 00:00:00,5.0
57,7030162,Peace Circle: Wildcat Peak from Little Farm,Hike,Several Tilden Nature Area trails can be stitched together into one ideal loop with great views and local history!,Intermediate,4.8,12,"Kensington, California",4.0,666,-664,1181,544,-122.2646,37.9088,Unknown,,1970-01-01 00:00:00,57.599999999999994
58,7051489,Educational Loop,Hike,A great hike to explore volcanoes in Oakland.,Intermediate,5.0,3,"Orinda, California",4.3,622,-621,1596,1159,-122.1986,37.8478,Unknown,,1970-01-01 00:00:00,15.0
59,7085746,Ebbetts Pass to Carson Pass,Hike,Awesome hike along the PCT that winds through lesser-traveled wilderness.,Difficult,5.0,1,"South Lake Tahoe, California",29.0,4310,-4446,9121,7769,-119.8116,38.5446,Unknown,,1970-01-01 00:00:00,5.0
60,7025237,EBRPD Trails Challenge 2017: Anthony Chabot,Hike,The 'challenging' route in Anthony Chabot Regional Park in the Regional Parks 2017 Trails Challenge program.,Intermediate,4.4,8,"Ashland, California",8.5,1085,-1093,1007,300,-122.1051,37.7588,Unknown,,1970-01-01 00:00:00,35.2
61,7084337,Berkeley Hills,Hike,One of several ways to hike the beautiful trails on the Berkeley hills. Great combination of uphill and flat trails.,Difficult,5.0,1,"Berkeley, California",3.5,995,-161,1355,467,-122.244,37.8626,Unknown,,1970-01-01 00:00:00,5.0
62,7053199,Maguire Peaks Loop,Hike,"Maguire Peak Trail is a moderately trafficked trail in Sunol, CA.",Easy/Intermediate,3.8,4,"Fremont, California",6.4,1449,-1451,1655,824,-121.8305,37.532,Unknown,,1970-01-01 00:00:00,15.2
63,7005880,Redwood Regional Loop,Hike,"A mostly shady hike through Serpentine Prairie, oak forest, and the East Bay's largest redwood forest.",Intermediate,4.5,31,"Piedmont, California",7.3,1089,-1088,1526,931,-122.1769,37.8036,Unknown,,1970-01-01 00:00:00,139.5
64,7050812,Temescal Loop,Hike,This is an easy lakeside hike.,Easy/Intermediate,4.5,2,"Piedmont, California",2.0,109,-110,515,431,-122.2327,37.8475,Unknown,,1970-01-01 00:00:00,9.0
65,7051787,Leona Canyon,Hike,Explore a wooded canyon with old oak trees.,Easy/Intermediate,4.0,2,"San Leandro, California",5.9,1257,-1262,1074,420,-122.1637,37.7876,Unknown,,1970-01-01 00:00:00,8.0
66,7026828,Mt. Burdell Preserve Loop,Hike,"A longer, moderately strenuous loop of Mt. Burdell, leaving from San Andreas Drive.",Intermediate,4.6,5,"Novato, California",5.0,1139,-1140,1445,315,-122.6042,38.13,Unknown,,1970-01-01 00:00:00,23.0
67,7085303,China Flat to Leland Lakes,Hike,"Hike along the Rubicon River, beautiful mountain lakes, and large granite hills.",Intermediate/Difficult,4.0,1,"South Lake Tahoe, California",8.3,1424,-785,8098,7110,-120.1778,38.9106,Unknown,,1970-01-01 00:00:00,4.0
68,7051316,Richmond Marina Bay Trail,Hike,Hike along the San Francisco Bay Trail (Richmond Segment) with stunning views of San Francisco.,Easy,5.0,2,"El Cerrito, California",8.1,23,-23,15,9,-122.3167,37.9001,Unknown,,1970-01-01 00:00:00,10.0
69,7051070,Don Castro - Five Canyon Loop,Hike,Explore two East Bay Regional Parks in 6.5 miles.,Intermediate,2.5,2,"Fairview, California",5.6,910,-910,913,236,-122.0512,37.6886,Unknown,,1970-01-01 00:00:00,5.0
70,7015159,Lake Chabot Inner Loop,Hike,"A trail looping around the lake, with stunning views of the lake and wildlife.",Intermediate,4.2,11,"Ashland, California",8.9,737,-733,524,230,-122.1046,37.7172,Unknown,,1970-01-01 00:00:00,46.2
71,7086426,Big Meadow Trailhead to Dardanelles Lake,Hike,"A pretty, forested climb to beautiful Dardanelles Lake.",Intermediate,4.0,1,"South Lake Tahoe, California",7.7,1309,-1309,8080,7251,-120.0007,38.7889,Unknown,,1970-01-01 00:00:00,4.0
72,7020214,Echo Lakes to Lake Aloha,Hike,"Lakes, peaks, and lots of people can all be found on this section of the Pacific Crest Trail.",Intermediate,4.6,29,"South Lake Tahoe, California",12.8,1434,-1436,8340,7424,-120.0422,38.834,Unknown,,1970-01-01 00:00:00,133.39999999999998
73,7023044,China Camp State Park Loop,Hike,Enjoy singletrack bliss and beautiful Bay views on a well-maintained trail system appropriate for all levels of hikers.,Intermediate,4.1,8,"Santa Venetia, California",8.5,761,-761,610,20,-122.4947,38.0065,Unknown,,1970-01-01 00:00:00,32.8
74,7052653,Hills in Richmond,Hike,Best hike in the East Bay for non-stop sweeping views of the San Francisco Bay!,Intermediate/Difficult,4.5,2,"Richmond, California",5.1,1054,-1057,363,29,-122.3831,37.917,Unknown,,1970-01-01 00:00:00,9.0
75,7052575,Miller/Knox Regional Shoreline Kid Friendly Loop,Hike,"On this hike, you'll enjoy some of the best views of San Francisco, Marin, and the Richmond Bridge!",Easy,5.0,1,"Richmond, California",3.0,68,-68,39,10,-122.3843,37.9165,Unknown,,1970-01-01 00:00:00,5.0
76,7020212,Glen Alpine to Lake Aloha Out and Back,Hike,This popular route visits many highlights of the Desolation Wilderness.,Intermediate,4.7,3,"South Lake Tahoe, California",11.9,1845,-1845,8123,6548,-120.0808,38.8772,Unknown,,1970-01-01 00:00:00,14.100000000000001
77,7050810,Lake Merritt Loop,Hike,Enjoy an urban park in the middle of beautiful Oakland.,Easy,3.6,10,"Oakland, California",3.4,45,-45,23,5,-122.2583,37.8053,Unknown,,1970-01-01 00:00:00,36.0
78,7043122,South Fork/Tolman Peak Loop,Hike,This combines dirt road and trail going up the back of the peak and finishing down a steeper grade back to the fork.,Easy/Intermediate,3.0,1,"Union City, California",5.2,884,-884,1054,196,-122.0167,37.6092,Unknown,,1970-01-01 00:00:00,3.0
79,7045565,Monument Peak Loop via BART,Hike,Loop around Monument Peak with great views of the Bay Area.,Intermediate/Difficult,3.0,1,"Milpitas, California",6.5,1635,-1656,2524,979,-121.8662,37.4875,Unknown,,1970-01-01 00:00:00,3.0
80,7045564,Monument Peak Summit Out and Back,Hike,This hike takes a combination of trails including the steep Horse Haven Trail to Monument Peak and back.,Difficult,3.5,2,"Milpitas, California",9.8,2491,-2492,2590,384,-121.9083,37.5043,Minor Issues,,2020-01-20 16:59:12,7.0
81,7015182,Ohlone Wilderness Trail / Hidden Valley Trail,Hike,A steep climb up Mission Peak with great views of the southern half of the bay.,Intermediate/Difficult,4.3,15,"Milpitas, California",6.5,2083,-2082,2465,382,-121.9098,37.5042,Minor Issues,"Mostly Dry, Some Mud",2020-01-25 18:27:59,64.5
82,7045224,Grant View Loop,Hike,A beautiful 5.6 mile long loop with a great view of Lake Grant.,Easy/Intermediate,4.6,7,"Alum Rock, California",5.5,1147,-1147,2632,1577,-121.7161,37.3424,Unknown,,1970-01-01 00:00:00,32.199999999999996
83,7051486,Martin Luther King Jr. Regional Shoreline,Hike,Enjoy this birdwatching adventure along San Leandro Bay with fantastic views of San Francisco and Arrowhead Marsh.,Easy,4.7,3,"San Leandro, California",7.1,23,-23,14,8,-122.2074,37.7312,Unknown,,1970-01-01 00:00:00,14.100000000000001
84,7022460,Sierra Vista Preserve Loop,Hike,A great tour of Sierra Vista Open Space Preserve.,Easy/Intermediate,4.1,8,"East Foothills, California",4.6,1052,-1052,2007,1035,-121.8009,37.4088,Minor Issues,Muddy,2019-12-08 14:54:07,32.8
85,7038579,Snell Barn Loop,Hike,"One of Santa Clara County Parks' ""Magnificent 7"" hikes.",Easy,3.0,2,"Alum Rock, California",3.7,228,-229,1563,1407,-121.7162,37.336,Unknown,,1970-01-01 00:00:00,6.0
86,7042640,Eagle Vista Loop,Hike,A great short hike to a vista point on top of Emerald Bay.,Intermediate,5.0,1,"South Lake Tahoe, California",0.5,135,-135,6713,6578,-120.1131,38.952,Bad / Closed,"Snowy, Icy - 02/02/20 - trailhead area covered with ice; microspikes or other traction devices needed to hike.",2020-01-03 12:15:00,5.0
87,7020210,Eagle Lake Out and Back,Hike,A modest effort leads to a remote-feeling alpine lake.,Intermediate,4.0,11,"South Lake Tahoe, California",1.9,405,-405,6980,6575,-120.1131,38.952,Bad / Closed,"Snowy, Icy - 02/02/20 - trailhead area covered with ice; microspikes or other traction devices needed to hike.",2020-01-03 12:15:00,44.0
88,7010691,Mount Tallac,Hike,An excellent hike with lots of variety and stunning views.,Difficult,4.8,51,"South Lake Tahoe, California",9.9,3266,-3266,9712,6446,-120.0682,38.9214,Unknown,,1970-01-01 00:00:00,244.79999999999998
89,7020500,Maggie's Peak,Hike,"A short hike with a lake, optional swimming, and superb view.",Intermediate/Difficult,4.5,11,"South Lake Tahoe, California",4.0,1657,-1656,8477,6820,-120.0985,38.9458,Unknown,,1970-01-01 00:00:00,49.5
90,7020656,Fontanillis Lake Loop,Hike,A loop trail that passes multiple alpine lakes and offers picturesque shots of the Tahoe backcountry.,Intermediate,4.5,4,"South Lake Tahoe, California",11.1,2542,-2540,8471,6819,-120.0985,38.9458,Unknown,,1970-01-01 00:00:00,18.0
91,7037744,Pomo - Red Hill Loop,Hike,A trek through Pomo Canyon up to the top of Red Hill.,Easy/Intermediate,4.7,6,"Monte Rio, California",5.4,1075,-1040,1063,157,-123.1022,38.4187,Unknown,,1970-01-01 00:00:00,28.200000000000003
92,7021804,Middle Ridge Loop,Hike,A moderate hike that highlights some of the more popular trails in the northwest part of the park.,Intermediate,4.5,2,"Morgan Hill, California",9.3,1546,-1545,2986,2132,-121.5511,37.1877,Unknown,,1970-01-01 00:00:00,9.0
93,7090618,Old Homestead Loop,Hike,A simply gorgeous hike. Wildflowers peaking in late March and there are forested and shaded areas near the creek.,Easy/Intermediate,5.0,1,"Forest Ranch, California",5.3,983,-983,1532,671,-121.714,39.8058,Unknown,,1970-01-01 00:00:00,5.0
94,7052910,Ring Mountain Loop,Hike,Enjoy a loop on the Tiburon Peninsula with great views.,Intermediate,4.7,3,"Corte Madera, California",2.9,584,-584,597,13,-122.4943,37.9209,All Clear,Dry - Dogs are ok on a leash. Please stay on marked  trails because there are rare plants that live nowhere else on earth in this place.,2019-11-18 00:41:32,14.100000000000001
95,7013286,Mt. Livermore Summit - North Ridge Trail,Hike,Get rewarded with the 360-degree views of the entire SF Bay from the summit of Mt. Livermore on Angel Island!,Intermediate,4.8,14,"Tiburon, California",4.3,784,-783,776,12,-122.4346,37.8686,Unknown,,1970-01-01 00:00:00,67.2
96,7002454,Bidwell Park Tour,Hike,"A tour of Bidwell Park complete with amazing views and great, winding singletrack.",Intermediate/Difficult,5.0,2,"Chico, California",14.2,1747,-1747,1382,273,-121.7919,39.7617,Unknown,,1970-01-01 00:00:00,10.0
97,7002455,Bidwell-Guardian Out-and-Back,Hike,A fun and challenging traverse on the southern side of Upper Bidwell.,Intermediate/Difficult,5.0,1,"Chico, California",12.7,1123,-1123,1377,273,-121.7917,39.7618,Unknown,,1970-01-01 00:00:00,5.0
98,7002480,Upper Bidwell Park Loop - South Side,Hike,Earn some great views from the South Rim of Big Chico Creek Canyon.,Intermediate/Difficult,4.5,4,"Chico, California",12.7,1596,-1596,1385,274,-121.7913,39.7622,Unknown,,1970-01-01 00:00:00,18.0
99,7021206,Coyote Creek Loop at Coe Park,Hike,A satisfying loop traveling through a very hilly part of Coe Park.,Intermediate/Difficult,5.0,1,"San Martin, California",8.7,1704,-1705,2354,917,-121.4727,37.0996,Unknown,,1970-01-01 00:00:00,5.0
100,7012639,Five Lakes Basin,Hike,A beautiful hike filled with lakes that you'll be in awe of.,Intermediate,4.3,6,"Downieville, California",11.5,1205,-1205,7555,6665,-120.6433,39.4019,Unknown,,1970-01-01 00:00:00,25.799999999999997
101,7003999,Penner Lake,Hike,A short hike with great views to a small alpine lake.,Intermediate,4.5,6,"Downieville, California",6.4,718,-719,6969,6664,-120.6432,39.4021,Unknown,,1970-01-01 00:00:00,27.0
102,7025821,Pinnacle Gulch - Shorttail Gulch Trail Loop,Hike,A loop route leading down a gulch and back up another gulch while enjoying the beautiful Bodega Bay.,Intermediate,4.3,3,"Bodega Bay, California",2.0,286,-285,262,7,-123.0141,38.3131,Unknown,,1970-01-01 00:00:00,12.899999999999999
103,7020224,Loch Leven Trail,Hike,A scenic hike that explores the boundaries of three granite surrounded lakes.,Intermediate/Difficult,4.4,16,"Truckee, California",7.4,1490,-1490,6854,5794,-120.5155,39.3096,Unknown,,1970-01-01 00:00:00,70.4
104,7020495,Rubicon Peak,Hike,A semi-secret trail leading to a rocky peak with stunning views.,Difficult,5.0,8,"Tahoma, California",3.6,2087,-2085,9019,6932,-120.1234,39.0103,Unknown,,1970-01-01 00:00:00,40.0
105,7020238,Phoenix Lake Loop,Hike,"An excellent hike around the Phoenix Lake Basin, full of beautiful and diverse terrain.",Intermediate,4.0,6,"Kentfield, California",6.2,741,-742,582,88,-122.5725,37.9579,Unknown,,1970-01-01 00:00:00,24.0
